name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madagascar,2021-10-16,26,9,17.8,26,7.6,17.7,10,65.6,0,0,0,,0,0,47.9,31.7,99.3,1021.1,27.6,12.7,338.6,29.2,10,,2021-10-16T05:19:32,2021-10-16T17:51:37,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-10-17,25,11,18,25,11,18,11.5,69.3,0,0,0,,0,0,39.2,25.9,109.9,1021.4,44.8,12.9,291,25.1,9,,2021-10-17T05:18:48,2021-10-17T17:51:55,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-10-18,27,10,18.1,26.8,10,18.1,11.8,70.9,0,0,0,,0,0,33.8,24.1,102.5,1021.5,38.7,12.8,293,25.3,10,,2021-10-18T05:18:05,2021-10-18T17:52:14,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-10-19,30,12,20.4,28.5,12,20.1,11.1,62.8,0,0,0,,0,0,33.5,22.3,97.5,1021.5,30.7,13.1,337.4,29.2,10,,2021-10-19T05:17:23,2021-10-19T17:52:34,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-10-20,29,15,20.9,28.2,15,20.8,12.9,63.8,0,0,0,,0,0,31.3,25.9,99.6,1021.7,58.9,13,326.1,28.3,10,,2021-10-20T05:16:41,2021-10-20T17:52:54,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-10-21,28,15,19.9,27.6,15,19.9,14.8,74.8,3,100,8.33,rain,0,0,41.4,25,337,1019.2,72.2,12,225.4,19.5,8,,2021-10-21T05:16:01,2021-10-21T17:53:15,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"67083099999,FMMI"
Madagascar,2021-10-22,30,14,22,29.2,14,21.7,14.1,67.2,0,0,0,,0,0,40,24.1,339.5,1018.7,48.3,11.6,291.3,25.2,10,,2021-10-22T05:15:21,2021-10-22T17:53:36,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI,remote"
Madagascar,2021-10-23,32,16,23.1,29.9,16,22.7,12.2,58.7,0,0,0,,0,0,38.9,31.7,350.6,1020.2,48.3,13.1,321,27.6,10,,2021-10-23T05:14:42,2021-10-23T17:53:57,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI,67085099999"
Madagascar,2021-10-24,33,16,23.2,31.3,16,22.9,15.2,67.4,0,0,0,,0,0,28.8,32.6,89.2,1022.2,47.6,13,297.6,25.7,10,,2021-10-24T05:14:03,2021-10-24T17:54:20,0.62,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-10-25,29,17,21.4,28.8,17,21.5,16.5,76.1,19,100,8.33,rain,0,0,39.6,31.7,104.5,1023.8,65.4,13.5,225.4,19.3,8,,2021-10-25T05:13:26,2021-10-25T17:54:42,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"67083099999,FMMI,67085099999"
