name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madagascar,2025-08-04,67.4,44.5,56.1,67.4,39.5,55,42.4,63.5,0,0,0,,0,0,25.3,13.9,135,1025,34.3,12.1,234.2,20.3,9,10,2025-08-04T06:16:41,2025-08-04T17:35:38,0.34,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"FMMI,remote"
Madagascar,2025-08-05,63.6,42.5,51.3,63.6,37.2,48.6,39.2,65.4,0,0,0,,0,0,25.1,16.1,129.4,1026.4,21.4,15,246.1,21.3,9,10,2025-08-05T06:16:11,2025-08-05T17:35:56,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Madagascar,2025-08-06,64.3,44.5,53,64.3,39.3,51.3,43.2,71.5,0.008,0,8.33,rain,0,0,27.7,15.4,111.5,1023.5,48.9,14.9,173.1,15.1,8,10,2025-08-06T06:15:40,2025-08-06T17:36:14,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Madagascar,2025-08-07,72.6,43.1,54.4,72.6,41.3,53.6,45.8,77.2,0.004,38.7,4.17,rain,0,0,18.6,11.4,108.1,1020.9,47.8,14.9,178.6,15.5,8,10,2025-08-07T06:15:09,2025-08-07T17:36:31,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Madagascar,2025-08-08,76,48.5,59.5,76,48.5,59.5,47.9,70.2,0.02,58.1,16.67,rain,0,0,20.4,14.1,84.9,1020,52,14.9,222.6,19,8,10,2025-08-08T06:14:36,2025-08-08T17:36:49,0.47,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain.,rain,
Madagascar,2025-08-09,71,54.1,59.6,71,54.1,59.6,50.1,73.3,0.043,58.1,16.67,rain,0,0,19.7,11.2,89.6,1022,75.2,14.3,170.6,14.9,7,10,2025-08-09T06:14:02,2025-08-09T17:37:06,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,
Madagascar,2025-08-10,71.5,53.1,60,71.5,53.1,60,48.6,68.8,0.012,35.5,8.33,rain,0,0,18.1,10.1,102.9,1022.3,64.5,15,185.1,15.9,8,10,2025-08-10T06:13:28,2025-08-10T17:37:23,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Madagascar,2025-08-11,72.8,48.8,59.5,72.8,47.3,59.4,44.3,62.8,0,19.4,0,,0,0,21.7,11.4,113.2,1020.6,13.2,15,223,19.2,8,10,2025-08-11T06:12:52,2025-08-11T17:37:39,0.57,Clear,Clear conditions throughout the day.,clear-day,
Madagascar,2025-08-12,74.2,45.6,58.5,74.2,43.4,58.1,46.2,68.5,0,6.5,0,,0,0,21.7,11.4,110.5,1019.5,15.5,15,224.3,19.2,8,10,2025-08-12T06:12:16,2025-08-12T17:37:55,0.61,Clear,Clear conditions throughout the day.,clear-day,
Madagascar,2025-08-13,73.3,51.5,60.3,73.3,51.5,60.3,47.4,65.8,0,6.5,0,,0,0,20.1,12.1,117.2,1019.3,51.2,15,221.8,19.2,8,10,2025-08-13T06:11:39,2025-08-13T17:38:11,0.65,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Madagascar,2025-08-14,70.1,45.8,56.7,70.1,42.1,55.9,44.6,67.4,0,12.9,0,,0,0,21,13,114.9,1021.5,29.1,15,227.5,19.8,8,10,2025-08-14T06:11:01,2025-08-14T17:38:27,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Madagascar,2025-08-15,66.8,46.7,56.1,66.8,44.2,55.7,47.1,74,0.004,12.9,4.17,rain,0,0,17.4,11,114.4,1022.7,36.2,14.9,196.8,17.1,7,10,2025-08-15T06:10:23,2025-08-15T17:38:42,0.72,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Madagascar,2025-08-16,74,45.8,58,74,43.6,57.5,45.8,69.5,0,9.7,0,,0,0,18.8,10.1,121.2,1022.5,23.7,15,228.1,19.8,8,10,2025-08-16T06:09:43,2025-08-16T17:38:57,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Madagascar,2025-08-17,71.1,46.7,58.1,71.1,44.8,57.8,45.6,67.5,0,12.9,0,,0,0,23.3,14.1,120.7,1022,14,15,229.5,19.8,8,10,2025-08-17T06:09:03,2025-08-17T17:39:12,0.79,Clear,Clear conditions throughout the day.,clear-day,
Madagascar,2025-08-18,55.3,52.1,53.7,55.3,52.1,53.7,49.1,84.3,0.083,22.6,29.17,rain,0,0,26.8,11.4,154.2,1023.8,87.1,14.5,20.1,2.1,1,10,2025-08-18T06:08:22,2025-08-18T17:39:27,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
